姓名,性别,民族,出生地,出生日期,毕业院校,专业背景,担任职务,履历
王尔乘,男,汉族,辽宁丹东,1955年10月,北京师范大学、中欧国际工商学院,工商管理硕士,"中国共产党第十九届中央委员会委员,全国社会保障基金理事会党组书记、副理事长","1971.12—1981.05,北京市木材公司西直门经营处工人、干部
1981.05—1982.06,北京市物资局干部
1982.06—1985.08,北京市物资局党组秘书、副科长（1980.05—1985.07,北京师范大学中文专业在职学习）
1985.08—1990.06,中央组织部地方干部局主任科员、副处级调研员、副处长（1988.09—1990.04,中央组织部培训中心参加人事管理理论与技术研究班脱产培训）
1990.06—1994.07,中央组织部办公厅副处长、正处级秘书
1994.07—2000.03,中央组织部办公厅副主任
2000.03—2003.12,中央组织部办公厅主任
2003.12—2004.05,中央组织部干部一局局长
2004.05—2007.07,中央组织部部务委员（副部长级）兼干部一局局长（2003.09—2005.09,中欧国际工商学院工商管理专业在职学习,获工商管理硕士学位）
2007.07—2012.10,中央组织部副部长、国家国防动员委员会委员（2008.5）
2012.10—2015.07,中央组织部副部长、机关党委书记、国家国防动员委员会委员（2013.06免）、中央巡视工作领导小组成员（2013.05任,2015.08免）
2015.07—2015.08,全国社会保障基金理事会党组书记
2015.08—,全国社会保障基金理事会党组书记、副理事长"
王志民,男,汉族,福建仙游,1957年4月,福建师范大学,经济学博士,"中国共产党第十九届中央委员会委员,中央人民政府驻香港特别行政区联络办公室主任","1975—1976,福建省将乐县插队
1976—1978,福州军区战士、文书
1978—1982,郑州解放军测绘学院制图系学生
1982—1985,福州军区教员、秘书
1985—1992,福建省委办公厅副主任科员、主任科员、副处长、处长
1992—1994,新华社香港分社办公厅副处长、处长
1994—1998,新华社香港分社妇女与青工作部副部长
1998—1999,福建省厦门市人民政府市长助理
1999—2006,福建出入境检验检疫局局长、党组书记（其间：2000—2003,在福建师范大学经济法律学院学习）
2006—2008,中央政府驻港联络办副秘书长兼青工作部部长
2008—2009,中央政府驻港联络办副主任兼副秘书长、青工作部部长
2009—2015,中央政府驻港联络办副主任
2015.04—2016.07,国务院港澳事务办公室副主任、党组副书记
2016.07—2017.09,中央人民政府驻澳门特别行政区联络办公室主任
2017.09—,中央人民政府驻香港特别行政区联络办公室主任 中国共产党第十九届中央委员会委员"
王志刚,男,汉族,安徽定远,1957年10月,西北电讯工程学院,信息论专业,"中国共产党第十九届中央委员会委员,科学技术部党组书记、副部长","1976.01—1978.10,安徽省滁州市常山公社插队知青
1978.10—1982.07,西北电讯工程学院一系信息论专业学习
1982.07—1988.03,电子工业部第二十八研究所助理工程师、工程师
1988.03—1995.07,电子工业部第二十八研究所三部副主任
1995.07—1995.10,电子工业部第二十八研究所副总工程师
1995.10—1996.10,电子工业部第二十八研究所副所长
1996.10—1999.02,中国计算机软件与技术服务总公司总经理（期间：1998.09—1999.01,中央党校地厅级干部进修班学习）
1999.02—2001.08,信息产业工业部电子科学研究院副院长、党组成员
2001.08—2002.01,信息产业工业部电子科学研究院副院长、党组成员,中国电子科技集团公司筹备组成员
2002.01—2003.09,中国电子科技集团公司副总经理、党组成员
2003.09—2008.10,中国电子科技集团公司总经理、党组书记（期间：2005.09—2006.01,中央党校省部级干部进修班学习）
2008.10—2011.04,中国电子科技集团公司总经理、党组副书记
2011.04—2012.07,科学技术部党组副书记、副部长[1] 
2012.07—,科学技术部党组书记、副部长"
王沪宁,男,汉族,山东莱州,1955年10月,复旦大学,法学硕士,"中央政治局常委、中央书记处书记,中央政策研究室主任,中央全面深化改革领导小组办公室主任","1972—1977,　上海师范大学干校外语培训班学习
1977—1978,上海市出版局干部
1978—1981,复旦大学国际政治系国际政治专业硕士研究生
1981—1989,复旦大学国际政治系教师、副教授、教授
1989—1994,复旦大学国际政治系主任
1994—1995,复旦大学法学院院长
1995—1998,中央政策研究室政治组组长
1998—2002,中央政策研究室副主任
2002—2007,中央政策研究室主任
2007—2012,中央书记处书记,中央政策研究室主任
2012—2014,中央政治局委员,中央政策研究室主任
2014—2017,中央政治局委员,中央政策研究室主任,中央全面深化改革领导小组办公室主任
2017—,　中央政治局常委、中央书记处书记,中央政策研究室主任,中央全面深化改革领导小组办公室主任"
王国生,男,汉族,山东东阿,1956年5月,"山东大学,山东省委党校",政治学专业,"十九届中央委员,青海省委书记、省人大常委会主任","1974.03—1976.11,山东省东阿县大桥公社知青、代理团委书记；
1976.11—1981.09,山东省东阿县文教局、聊城地委宣传部、办公室、研究室办事员；
1981.09—1983.07,山东大学科社系政治学专业学习；
1983.07—1985.05,山东省冠县机构改革工作队员、聊城地委办公室正科级秘书；
1985.05—1991.10,山东省聊城地委组织部副部长兼干部科科长（其间：1990.01—1991.10兼聊城地区老龄委办公室主任）；
1991.10—1994.06,山东省聊城地委委员、组织部部长、高唐县委书记；
1994.06—1995.01,山东省聊城地委副书记、高唐县委书记；
1995.01—1997.12,山东省聊城地委副书记；
1997.12—1998.06,山东省劳动厅副厅长、党组副书记；
1998.06—2000.01,山东省贸易厅厅长、省政府财贸办公室主任；
2000.01—2000.08,江苏省委省级机关工委书记（其间：1997.09—2000.06,山东省委党校政治学专业学习）；
2000.08—2001.11,江苏省连云港市委书记；
2001.11—2001.12,江苏省委常委、连云港市委书记；
2001.12—2004.06,江苏省委常委、宣传部部长；
2004.06—2008.04,江苏省委常委、组织部部长；
2008.04—2008.08,江苏省委副书记、组织部部长；
2008.08—2010.09,江苏省委副书记、组织部部长兼省委党校校长；
2010.09—2010.12,江苏省委副书记；
2010.12—2011.02,湖北省委副书记、代省长,省政府党组书记；
2011.02—2011.05,湖北省委副书记、省长,省政府党组书记；
2011.05—2016.06,湖北省委副书记、省长,省政府党组书记,长江流域防汛抗旱指挥部总指挥；
2016.06—2017.01,青海省委书记、省人大常委会主任候选人；
2017.01—,青海省委书记、省人大常委会主任。"
王建军,男,汉族,湖北十堰,1958年6月,中央党校,研究生学历,"中国共产党第十九届中央委员会委员,青海省委副书记、省长,省政府党组书记","1978.01—1979.07,青海省湟中县汉东公社知青
1979.07—1981.09,青海师范专科学校中文系中文专业学习
1981.09—1982.10,青海省西宁市第十中学教师
1982.10—1985.03,青海省西宁市委办公室、政策研究室秘书
1985.03—1990.05,青海省委组织部办公室秘书
1990.05—1992.07,青海省委组织部办公室副主任、干部二处副处长
1992.07—1995.03,青海省委组织部干部二处处长
1995.03—1995.05,青海省委组织部办公室主任
1995.05—2000.04,青海省委组织部副部长
2000.04—2004.03,青海省委组织部副部长、省人事厅厅长、党组书记,2000.12兼任省机构编制委员会办公室主任（1999.07—2001.06,中国社会科学院研究生院政治经济学专业研究生课程班学习；2003.03—2004.01,中央党校一年制中青班学习）
2004.03—2004.12,青海省委副秘书长、办公厅主任
2004.12—2005.08,青海省委秘书长、办公厅主任
2005.08—2007.01,青海省委常委、秘书长、办公厅主任
2007.01—2010.09,青海省委常委、西宁市委书记（2005.09—2008.07,中央党校省部级干部在职研究生班政治学专业学习）
2010.09—2010.11,青海省委副书记兼省委党校校长、西宁市委书记
2010.11—2011.12,青海省委副书记兼省委党校校长、西宁市委书记、西宁（国家级）经济技术开发区党工委书记
2011.12—2013.02,青海省委副书记兼政法委书记、省委党校校长[1] 
2013.02—2014.05,青海省委副书记兼省委党校校长[2] 
2014.05—2015.05,青海省委副书记兼省委党校校长、西宁市委书记、西宁（国家级）经济技术开发区党工委书记
2015.05—2016.12,青海省委副书记兼省委党校校长[3] 
2016.12—2017.01,青海省委副书记、副省长、代省长,省政府党组书记,兼省委党校校长[4] 
2017.01—2017.05,青海省委副书记、省长,省政府党组书记,兼省委党校校长
2017.05—,青海省委副书记、省长,省政府党组书记[5] "
王建武,男,汉族,河南洛宁,1958年8月,,,"西藏军区政委,中国共产党第十九届中央委员会委员","—2017.7.31,长期在原济南军区服役,曾任陆军第54集团军政治部主任、原济南军区联勤部政委等职务，中共西藏自治区第九届委员会委员
2017.7.31—,王建武晋升中将军衔。"
王晓东,男,汉族,江西信丰,1960年1月,中央党校,哲学学士,"湖北省委副书记,省政府省长、党组书记,湖北省总河湖长兼任长江河长","1979.09—1983.08,江西大学哲学系马列主义基础理论专业学习
1983.08—1989.04,江西省委农村政策研究室综合处办事员、副主任科员、主任科员、副处长（其间：1987.01—1988.07,北京经济函授大学现代经济管理专业学习）
1989.04—1992.03,江西省委办公厅副处级秘书
1992.03—1993.10,江西省委社教办副主任（正处级）、省委政策研究室党建政法处处长（其间：1993.05—1993.09,挂职任江西省南昌县委副书记）
1993.10—1994.10,贵州省委办公厅正处级秘书
1994.10—1998.02,贵州省委副秘书长（其间：1995.10—1997.08,中国人民大学哲学系伦理学专业在职研究生课程进修班学习）
1998.02—1998.10,贵州省委副秘书长、办公厅主任
1998.10—2000.01,贵州省委秘书长、办公厅主任
2000.01—2000.12,贵州省贵阳市委书记
2000.12—2007.05,贵州省委常委,贵阳市委书记,贵阳军分区（警备区）党委第一书记（2000.09—2003.07,中央党校省部级干部在职研究生班政治学专业学习）
2007.05—2007.06,贵州省委常委,省政府副省长、党组副书记,贵阳市委书记,贵阳军分区党委第一书记
2007.06—2011.12,贵州省委常委,省政府副省长、党组副书记
2011.12—2012.01,湖北省委常委,省政府党组副书记
2012.01—2012.02,湖北省委常委,省政府副省长、党组副书记
2012.02—2012.07,湖北省委常委,省政府副省长、党组副书记,省行政学院院长
2012.07—2016.04,湖北省委常委,省政府副省长、党组副书记,省行政学院院长,湖北陆军预备役高射炮兵师第一政委
2016.04—2016.09,湖北省委副书记、省委政法委书记,省政府副省长、党组副书记,省行政学院院长,湖北陆军预备役高射炮兵师第一政委[1] 
2016.09—2017.01,湖北省委副书记、省委政法委书记,省政府副省长、代理省长、党组书记,湖北陆军预备役高射炮兵师第一政委
2017.01—2017.07,湖北省委副书记,省政府省长、党组书记,省委政法委书记,湖北陆军预备役高射炮兵师第一政委
2017.07—,湖北省委副书记,省政府省长、党组书记[2] "
王晓晖,男,汉族,吉林省长岭县,1962年,吉林大学,法学硕士,"中国共产党第十九届中央委员会委员,中央宣传部副部长、中央政策研究室常务副主任","1986—2009,毕业到中共中央宣传部工作,历任宣传教育局副处长、处长、助理巡视员,政策法规研究室副主任,舆情信息局局长,理论局局长,中宣部副秘书长。
1986—2014,起任中央宣传部副部长,中央宣传部副部长兼新闻发言人。
1986—2017,任中央宣传部副部长、中央政策研究室副主任
2017—,任中央宣传部副部长、中央政策研究室常务副主任"
王家胜,男,汉族,辽宁辽阳,1955年1月,国防科学技术大学,电子技术,"中国共产党第十九届中央委员会委员,中国人民解放军火箭军政治委员","—2009.01,历任中国人民解放军总装备部政治部副主任、总装备部第27试验训练基地政委。
2009.01—2011.12,任中国人民解放军总装备部政治部主任。
2011.12—2014.12,中国人民解放军总装备部副政委、中央军委纪委副书记。
2014.12—2015.12,任中国人民解放军第二炮兵政治委员、党委书记。
2015.12—, 任中国人民解放军火箭军政治委员, 第十八届中央纪委委员,中国共产党第十九届中央委员会委员,党的十九大代表"
王蒙徽,男,汉族,江苏盐城,1960年1月,清华大学,工学博士,"中国共产党第十九届中央委员会委员,住房和城乡建设部党组书记、部长","1978.03—1983.07,清华大学建筑系建筑学专业学习；
1983.07—1989.03,清华大学建筑系学生工作组副组长、辅导员、系党委委员、学生工作组组长；
1989.03—1993.03,清华大学建筑学院院长助理、党委副书记、讲师、副教授（1984.09—1989.12,在清华大学建筑学院建筑设计与理论专业学习、获工学硕士学位,1987.11—1988.06,波兰华沙工业大学建筑系进修）；
1993.03—1995.08,挂职广东省广州市番禺市人民政府副市长；
1995.08—1998.02,广东省广州市增城市人民政府副市长（1996.12—1998.11,中国社科院研究生院投资系投资管理专业在职硕士研究生课程班学习）；
1998.02—1998.09,广东省广州市建设委员会村镇建设处处长；
1998.09—2000.11,广东省广州市城市规划局副局长；
2000.11—2001.06,广东省广州市城市规划局副局长兼市城市规划编制研究中心主任；
2001.06—2002.07,广东省广州市城市规划局局长兼市城市规划编制研究中心主任；
2002.07—2003.01,广东省广州市城市规划局局长；
2003.01—2004.05,广东省广州市番禺区委副书记、代区长、区长（2002.09—2006.12,在清华大学建筑学院城市规划设计与理论专业博士研究生学习,获工学博士学位）；
2004.05—2008.08,广东省汕尾市委副书记、代市长、市长；[1] 
2008.08—2011.11,广东省云浮市委书记、市人大常委会主任；[2] 
2011.11—2013.05,福建省人民政府副省长、党组成员；[3] 
2013.05—2016.08,福建省委常委、厦门市委书记；[4] 
2016.08—2016.12,辽宁省委常委、沈阳市委书记；[5] 
2016.12—2017.05,辽宁省委副书记、沈阳市委书记,辽宁省委党校校长（兼）；[6] 
2017.05—2017.06,住房和城乡建设部党组书记；
2017.06—,住房和城乡建设部党组书记、部长。"
